"index","data_id","dataset","subdataset","resolution","format","type","bytes","xmin","ymin","xmax","ymax","start","end"
1,"BECK_climateMap/futureClass","BECK_climateMap","futureClass",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"2071-01-01","2100-01-01"
2,"BECK_climateMap/futureConfidence","BECK_climateMap","futureConfidence",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"2071-01-01","2100-01-01"
3,"BECK_climateMap/presentClass","BECK_climateMap","presentClass",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1986-01-01","2016-01-01"
4,"BECK_climateMap/presentConfidence","BECK_climateMap","presentConfidence",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1986-01-01","2016-01-01"
5,"BECK_climateMap/smoothPresent","BECK_climateMap","smoothPresent",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1986-01-01","2016-01-01"
6,"CCI_history/agriculture","CCI_history","agriculture",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
7,"CCI_history/desertic","CCI_history","desertic",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
8,"CCI_history/water","CCI_history","water",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
9,"CCI_history/wetlands","CCI_history","wetlands",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
10,"CCI_landCover_agg/agriculture","CCI_landCover_agg","agriculture",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
11,"CCI_landCover_agg/forest","CCI_landCover_agg","forest",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
12,"CCI_landCover_agg/grassland","CCI_landCover_agg","grassland",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
13,"CCI_landCover_agg/shrubland","CCI_landCover_agg","shrubland",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
14,"CCI_landCover/landCover","CCI_landCover","landCover",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
15,"CHELSA_pClimate/drySeasonLength","CHELSA_pClimate","drySeasonLength",0.00833333333333333,"grid","INT1U",1,-180.00013888885,-90.00013958485,179.99986111115,83.99986041515,"1992-01-01","2013-01-01"
16,"CHELSA_pClimate/summerMax","CHELSA_pClimate","summerMax",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
17,"CHELSA_pClimate/summerMin","CHELSA_pClimate","summerMin",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
18,"CHELSA_pClimate/summerTotal","CHELSA_pClimate","summerTotal",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
19,"CHELSA_pClimate/winterMax","CHELSA_pClimate","winterMax",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
20,"CHELSA_pClimate/winterMin","CHELSA_pClimate","winterMin",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
21,"CHELSA_pClimate/winterTotal","CHELSA_pClimate","winterTotal",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
22,"CHELSA_pClimate/yearMax","CHELSA_pClimate","yearMax",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
23,"CHELSA_pClimate/yearMin","CHELSA_pClimate","yearMin",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
24,"CHELSA_pClimate/yearTotal","CHELSA_pClimate","yearTotal",0.00833333333333333,"grid","INT2U",2,-180,-90,180,90,"1992-01-01","2013-01-01"
25,"CHELSA_prec/precipitation","CHELSA_prec","precipitation",0.00833333333333333,"grid","INT2U",2,-180.00013888885,-90.00013958485,179.99986111115,83.99986041515,"1992-01-01","2013-12-01"
26,"CHELSA_tClimate/nrMonthsAbove10c","CHELSA_tClimate","nrMonthsAbove10c",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
27,"CHELSA_tClimate/summerMax","CHELSA_tClimate","summerMax",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
28,"CHELSA_tClimate/summerMean","CHELSA_tClimate","summerMean",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
29,"CHELSA_tClimate/summerMin","CHELSA_tClimate","summerMin",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
30,"CHELSA_tClimate/winterMax","CHELSA_tClimate","winterMax",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
31,"CHELSA_tClimate/winterMean","CHELSA_tClimate","winterMean",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
32,"CHELSA_tClimate/winterMin","CHELSA_tClimate","winterMin",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
33,"CHELSA_tClimate/yearMax","CHELSA_tClimate","yearMax",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
34,"CHELSA_tClimate/yearMean","CHELSA_tClimate","yearMean",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
35,"CHELSA_tClimate/yearMin","CHELSA_tClimate","yearMin",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2013-01-01"
36,"CHELSA_tmean/temperature","CHELSA_tmean","temperature",0.00833333333333333,"grid","INT2U",2,-180.00013888885,-90.00013958485,179.99986111115,83.99986041515,"1992-01-01","2013-12-01"
37,"FLO1K/max","FLO1K","max",0.5,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2015-01-01"
38,"FLO1K/mean","FLO1K","mean",0.5,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2015-01-01"
39,"FLO1K/min","FLO1K","min",0.5,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2015-01-01"
40,"GAIA_10as/urbanCover","GAIA_10as","urbanCover",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
41,"GAIA_30as/urbanCover","GAIA_30as","urbanCover",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
42,"GHS_BUILT/GHSB","GHS_BUILT","GHSB",0.00277777777777778,"grid","FLT4S",4,-180,-90,180,90,"1975-01-01","2015-01-01"
43,"GHS_POP/GHSP","GHS_POP","GHSP",0.00277777777777778,"grid","FLT4S",4,-180,-90,180,90,"1975-01-01","2015-01-01"
44,"GHS_SMOD/SMOD","GHS_SMOD","SMOD",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1975-01-01","2015-01-01"
45,"Global_masks/admin","Global_masks","admin",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,NA,NA
46,"Global_masks/antarcticIslands","Global_masks","antarcticIslands",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"2019-01-01","2019-01-01"
47,"Global_masks/coral","Global_masks","coral",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,NA,NA
48,"Global_masks/deltas","Global_masks","deltas",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,NA,NA
49,"Global_masks/estuaries","Global_masks","estuaries",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"2018-01-01","2018-01-01"
50,"Global_masks/mangrove","Global_masks","mangrove",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"1996-01-01","2016-01-01"
51,"Global_masks/plantations","Global_masks","plantations",0.002777778,"grid","INT1U",1,-180,-90.0000144,180.0000288,90,"2019-01-01","2019-01-01"
52,"Global_masks/reservoirs","Global_masks","reservoirs",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"2019-01-01","2019-01-01"
53,"Global_masks/salineLakes","Global_masks","salineLakes",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,"2019-01-01","2019-01-01"
54,"globalRivers/riverDensity","globalRivers","riverDensity",0.00277777777777778,"grid","INT1U",1,-180,-90,180,90,NA,NA
55,"GlobES_area/0101","GlobES_area","0101",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
56,"GlobES_area/0102","GlobES_area","0102",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
57,"GlobES_area/0103","GlobES_area","0103",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
58,"GlobES_area/0104","GlobES_area","0104",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
59,"GlobES_area/0105","GlobES_area","0105",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
60,"GlobES_area/0106","GlobES_area","0106",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
61,"GlobES_area/0107","GlobES_area","0107",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
62,"GlobES_area/0108","GlobES_area","0108",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
63,"GlobES_area/0109","GlobES_area","0109",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
64,"GlobES_area/0201","GlobES_area","0201",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
65,"GlobES_area/0202","GlobES_area","0202",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
66,"GlobES_area/0301","GlobES_area","0301",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
67,"GlobES_area/0302","GlobES_area","0302",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
68,"GlobES_area/0303","GlobES_area","0303",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
69,"GlobES_area/0304","GlobES_area","0304",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
70,"GlobES_area/0305","GlobES_area","0305",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
71,"GlobES_area/0306","GlobES_area","0306",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
72,"GlobES_area/0307","GlobES_area","0307",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
73,"GlobES_area/0308","GlobES_area","0308",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
74,"GlobES_area/0401","GlobES_area","0401",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
75,"GlobES_area/0402","GlobES_area","0402",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
76,"GlobES_area/0403","GlobES_area","0403",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
77,"GlobES_area/0404","GlobES_area","0404",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
78,"GlobES_area/0405","GlobES_area","0405",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
79,"GlobES_area/0406","GlobES_area","0406",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
80,"GlobES_area/0407","GlobES_area","0407",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
81,"GlobES_area/0501","GlobES_area","0501",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
82,"GlobES_area/0502","GlobES_area","0502",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
83,"GlobES_area/0504","GlobES_area","0504",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
84,"GlobES_area/0505","GlobES_area","0505",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
85,"GlobES_area/0506","GlobES_area","0506",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
86,"GlobES_area/0507","GlobES_area","0507",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
87,"GlobES_area/0508","GlobES_area","0508",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
88,"GlobES_area/0510","GlobES_area","0510",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
89,"GlobES_area/0511","GlobES_area","0511",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
90,"GlobES_area/0514","GlobES_area","0514",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
91,"GlobES_area/0515","GlobES_area","0515",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
92,"GlobES_area/0516","GlobES_area","0516",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
93,"GlobES_area/0517","GlobES_area","0517",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
94,"GlobES_area/0600","GlobES_area","0600",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
95,"GlobES_area/0801","GlobES_area","0801",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
96,"GlobES_area/0802","GlobES_area","0802",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
97,"GlobES_area/0803","GlobES_area","0803",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
98,"GlobES_area/0908","GlobES_area","0908",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
99,"GlobES_area/0910","GlobES_area","0910",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
100,"GlobES_area/1001","GlobES_area","1001",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
101,"GlobES_area/1002","GlobES_area","1002",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
102,"GlobES_area/1003","GlobES_area","1003",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
103,"GlobES_area/1004","GlobES_area","1004",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
104,"GlobES_area/1101","GlobES_area","1101",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
105,"GlobES_area/1102","GlobES_area","1102",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
106,"GlobES_area/1103","GlobES_area","1103",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
107,"GlobES_area/1104","GlobES_area","1104",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
108,"GlobES_area/1105","GlobES_area","1105",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
109,"GlobES_area/1204","GlobES_area","1204",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
110,"GlobES_area/1205","GlobES_area","1205",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
111,"GlobES_area/1206","GlobES_area","1206",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
112,"GlobES_area/1207","GlobES_area","1207",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
113,"GlobES_area/1304","GlobES_area","1304",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
114,"GlobES_area/1305","GlobES_area","1305",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
115,"GlobES_area/1401","GlobES_area","1401",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
116,"GlobES_area/1402","GlobES_area","1402",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
117,"GlobES_area/1405","GlobES_area","1405",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
118,"GlobES_area/1508","GlobES_area","1508",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
119,"GlobES_area/1511","GlobES_area","1511",0.00833333333333333,"grid","FLT4S",4,-180,-90,180,90,"1992-01-01","2018-01-01"
120,"GlobES_dominantEco/dominantEco","GlobES_dominantEco","dominantEco",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
121,"GlobES_ecoTransitions/changeCount","GlobES_ecoTransitions","changeCount",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
122,"GlobES_ecoTransitions/changeType","GlobES_ecoTransitions","changeType",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1992-01-01","2018-01-01"
123,"GlobES_ecoTransitions/transitions","GlobES_ecoTransitions","transitions",0.00833333333333333,"grid","INT2S",2,-180,-90,180,90,"1992-01-01","2018-01-01"
124,"GlobES_qa/0101","GlobES_qa","0101",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
125,"GlobES_qa/0102","GlobES_qa","0102",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
126,"GlobES_qa/0103","GlobES_qa","0103",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
127,"GlobES_qa/0104","GlobES_qa","0104",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
128,"GlobES_qa/0105","GlobES_qa","0105",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
129,"GlobES_qa/0106","GlobES_qa","0106",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
130,"GlobES_qa/0107","GlobES_qa","0107",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
131,"GlobES_qa/0108","GlobES_qa","0108",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
132,"GlobES_qa/0109","GlobES_qa","0109",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
133,"GlobES_qa/0201","GlobES_qa","0201",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
134,"GlobES_qa/0202","GlobES_qa","0202",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
135,"GlobES_qa/0301","GlobES_qa","0301",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
136,"GlobES_qa/0302","GlobES_qa","0302",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
137,"GlobES_qa/0303","GlobES_qa","0303",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
138,"GlobES_qa/0304","GlobES_qa","0304",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
139,"GlobES_qa/0305","GlobES_qa","0305",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
140,"GlobES_qa/0306","GlobES_qa","0306",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
141,"GlobES_qa/0307","GlobES_qa","0307",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
142,"GlobES_qa/0308","GlobES_qa","0308",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
143,"GlobES_qa/0401","GlobES_qa","0401",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
144,"GlobES_qa/0402","GlobES_qa","0402",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
145,"GlobES_qa/0403","GlobES_qa","0403",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
146,"GlobES_qa/0404","GlobES_qa","0404",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
147,"GlobES_qa/0405","GlobES_qa","0405",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
148,"GlobES_qa/0406","GlobES_qa","0406",0.00833333333333333,"grid","INT1U",1,-180,-90,180,90,"1993-01-01","2018-01-01"
